================ 定向侦查：Interleaved [I,Q], 强制固定 T=033 ================
说明：这里将所有文件强制与目标时刻 T=33 的理想32位导频进行逐位对齐。
如果解出的序列匹配该位，显示为对应的 0 或 1；如果不匹配，将在该位用字母 X 高亮标出。

位索引标尺:     12345678901234567890123456789012
理想目标(T=33): 00111011101110100001101101111010

文件编号  | 最优相位 | 误差/32 |  按位重合情况透视图 (X为报错位)
-----------------------------------------------------------------------------------
File 001 | Ph 2 (090°) | 10/32  |  0X1XX01X10XXX0X00001X0X101111010
File 002 | Ph 3 (180°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 003 | Ph 3 (180°) | 10/32  |  0X1XX01X10XXX0X00001X0X101111010
File 004 | Ph 1 (000°) | 16/32  |  X0X11XX1XX111X1X0XX1XX11X11XX0X0
File 005 | Ph 1 (000°) | 10/32  |  X0X11XX1XX111X1X0001X0X101111010
File 006 | Ph 1 (000°) | 10/32  |  X0X11XX1XX111X1X0001X0X101111010
File 007 | Ph 1 (000°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 008 | Ph 4 (270°) | 04/32  |  001110111X1X10100001X0X101111010
File 009 | Ph 1 (000°) | 10/32  |  0X1XX01X10XXX0X00001X0X101111010
File 010 | Ph 1 (000°) | 16/32  |  XXXXXXXXX0X1XXXX0001X0X101111010
File 011 | Ph 4 (270°) | 04/32  |  001110111X1X10100001X0X101111010
File 012 | Ph 2 (090°) | 13/32  |  X0X1XX111XX1X01000X1XX110X1XX010
File 013 | Ph 2 (090°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 014 | Ph 1 (000°) | 04/32  |  001110111X1X10100001X0X101111010
File 015 | Ph 1 (000°) | 16/32  |  001110111X1X1010XXXX1X1XXXXXXXXX
File 016 | Ph 1 (000°) | 16/32  |  001110111X1X1010XXXX1X1XXXXXXXXX
File 017 | Ph 1 (000°) | 04/32  |  001110111X1X10100001X0X101111010
File 018 | Ph 1 (000°) | 16/32  |  001110111X1X1010XXXX1X1XXXXXXXXX
File 019 | Ph 1 (000°) | 10/32  |  001110111X1X1010X00X10XX0XX11X1X
File 020 | Ph 2 (090°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 021 | Ph 3 (180°) | 04/32  |  001110111X1X10100001X0X101111010
File 022 | Ph 1 (000°) | 10/32  |  001110111X1X1010X00X10XX0XX11X1X
File 023 | Ph 2 (090°) | 04/32  |  001110111X1X10100001X0X101111010
File 024 | Ph 1 (000°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 025 | Ph 1 (000°) | 10/32  |  X0X11XX1XX111X1X0001X0X101111010
File 026 | Ph 1 (000°) | 16/32  |  XXXXXXXXX0X1XXXX0001X0X101111010
File 027 | Ph 2 (090°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 028 | Ph 1 (000°) | 16/32  |  001110111X1X1010XXXX1X1XXXXXXXXX
File 029 | Ph 1 (000°) | 10/32  |  X0X11XX1XX111X1X0001X0X101111010
File 030 | Ph 1 (000°) | 16/32  |  X0X11XX1XX111X1X0XX1XX11X11XX0X0
File 031 | Ph 1 (000°) | 10/32  |  0X1XX01X10XXX0X00001X0X101111010
File 032 | Ph 4 (270°) | 04/32  |  001110111X1X10100001X0X101111010
File 033 | Ph 2 (090°) | 10/32  |  0X1XX01X10XXX0X00001X0X101111010
File 034 | Ph 1 (000°) | 16/32  |  XXXXXXXXX0X1XXXX0001X0X101111010
File 035 | Ph 1 (000°) | 16/32  |  001110111X1X1010XXXX1X1XXXXXXXXX
File 036 | Ph 3 (180°) | 10/32  |  0X1XX01X10XXX0X00001X0X101111010
File 037 | Ph 3 (180°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 038 | Ph 1 (000°) | 10/32  |  X0X11XX1XX111X1X0001X0X101111010
File 039 | Ph 2 (090°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 040 | Ph 1 (000°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 041 | Ph 2 (090°) | 04/32  |  001110111X1X10100001X0X101111010
File 042 | Ph 1 (000°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 043 | Ph 3 (180°) | 10/32  |  0X1XX01X10XXX0X00001X0X101111010
File 044 | Ph 2 (090°) | 04/32  |  001110111X1X10100001X0X101111010
File 045 | Ph 1 (000°) | 16/32  |  0X1XX01X10XXX0X0X00X10XX0XX11X1X
File 046 | Ph 3 (180°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 047 | Ph 1 (000°) | 10/32  |  001110111X1X1010X00X10XX0XX11X1X
File 048 | Ph 1 (000°) | 10/32  |  X0X11XX1XX111X1X0001X0X101111010
File 049 | Ph 1 (000°) | 04/32  |  001110111X1X10100001X0X101111010
File 050 | Ph 1 (000°) | 10/32  |  0X1XX01X10XXX0X00001X0X101111010
File 051 | Ph 3 (180°) | 10/32  |  0X1XX01X10XXX0X00001X0X101111010
File 052 | Ph 1 (000°) | 16/32  |  0X1XX01X10XXX0X0X00X10XX0XX11X1X
File 053 | Ph 1 (000°) | 16/32  |  X0X11XX1XX111X1X0XX1XX11X11XX0X0
File 054 | Ph 1 (000°) | 10/32  |  001110111X1X1010X00X10XX0XX11X1X
File 055 | Ph 3 (180°) | 10/32  |  0X1XX01X10XXX0X00001X0X101111010
File 056 | Ph 1 (000°) | 10/32  |  0X1XX01X10XXX0X00001X0X101111010
File 057 | Ph 1 (000°) | 16/32  |  X0X11XX1XX111X1X0XX1XX11X11XX0X0
File 058 | Ph 1 (000°) | 10/32  |  X0X11XX1XX111X1X0001X0X101111010
File 059 | Ph 1 (000°) | 16/32  |  0X1XX01X10XXX0X0X00X10XX0XX11X1X
File 060 | Ph 3 (180°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 061 | Ph 3 (180°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 062 | Ph 2 (090°) | 10/32  |  0X1XX01X10XXX0X00001X0X101111010
File 063 | Ph 1 (000°) | 04/32  |  001110111X1X10100001X0X101111010
File 064 | Ph 2 (090°) | 10/32  |  0X1XX01X10XXX0X00001X0X101111010
File 065 | Ph 1 (000°) | 10/32  |  X0X11XX1XX111X1X0001X0X101111010
File 066 | Ph 2 (090°) | 10/32  |  0X1XX01X10XXX0X00001X0X101111010
File 067 | Ph 3 (180°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 068 | Ph 1 (000°) | 16/32  |  XXXXXXXXX0X1XXXX0001X0X101111010
File 069 | Ph 1 (000°) | 16/32  |  001110111X1X1010XXXX1X1XXXXXXXXX
File 070 | Ph 1 (000°) | 10/32  |  001110111X1X1010X00X10XX0XX11X1X
File 071 | Ph 1 (000°) | 16/32  |  0X1XX01X10XXX0X0X00X10XX0XX11X1X
File 072 | Ph 2 (090°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 073 | Ph 2 (090°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 074 | Ph 1 (000°) | 16/32  |  XXXXXXXXX0X1XXXX0001X0X101111010
File 075 | Ph 1 (000°) | 16/32  |  001110111X1X1010XXXX1X1XXXXXXXXX
File 076 | Ph 1 (000°) | 16/32  |  0X1XX01X10XXX0X0X00X10XX0XX11X1X
File 077 | Ph 1 (000°) | 16/32  |  X0X11XX1XX111X1X0XX1XX11X11XX0X0
File 078 | Ph 3 (180°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 079 | Ph 1 (000°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 080 | Ph 2 (090°) | 04/32  |  001110111X1X10100001X0X101111010
File 081 | Ph 1 (000°) | 04/32  |  001110111X1X10100001X0X101111010
File 082 | Ph 4 (270°) | 04/32  |  001110111X1X10100001X0X101111010
File 083 | Ph 2 (090°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 084 | Ph 2 (090°) | 10/32  |  0X1XX01X10XXX0X00001X0X101111010
File 085 | Ph 2 (090°) | 04/32  |  001110111X1X10100001X0X101111010
File 086 | Ph 1 (000°) | 16/32  |  001110111X1X1010XXXX1X1XXXXXXXXX
File 087 | Ph 1 (000°) | 16/32  |  X0X11XX1XX111X1X0XX1XX11X11XX0X0
File 088 | Ph 1 (000°) | 16/32  |  001110111X1X1010XXXX1X1XXXXXXXXX
File 089 | Ph 1 (000°) | 04/32  |  001110111X1X10100001X0X101111010
File 090 | Ph 2 (090°) | 04/32  |  001110111X1X10100001X0X101111010
File 091 | Ph 1 (000°) | 10/32  |  001110111X1X1010X00X10XX0XX11X1X
File 092 | Ph 3 (180°) | 10/32  |  0X1XX01X10XXX0X00001X0X101111010
File 093 | Ph 3 (180°) | 04/32  |  001110111X1X10100001X0X101111010
File 094 | Ph 1 (000°) | 10/32  |  001110111X1X1010X00X10XX0XX11X1X
File 095 | Ph 2 (090°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 096 | Ph 2 (090°) | 04/32  |  001110111X1X10100001X0X101111010
File 097 | Ph 1 (000°) | 16/32  |  XXXXXXXXX0X1XXXX0001X0X101111010
File 098 | Ph 3 (180°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 099 | Ph 3 (180°) | 10/32  |  001110111X1X10100XX1XX11X11XX0X0
File 100 | Ph 3 (180°) | 04/32  |  001110111X1X10100001X0X101111010
